Tissue,Turnover (days),"Expression level ofHSP90AB1 in human, TPM (median)"
Adipose Tissue,2448,748.25
Adrenal Gland,455,829
Bladder,49,889.6
Blood,30,135.8
Blood Vessel,67.5,935.7
Bone Marrow,3.2,NA
Brain,24637.5,582.7
Breast,65.75,777.3
Cervix Uteri,5.7,1096
Colon,4.25,577.45
Esophagus,10.5,516.4
Fallopian Tube,NA,903.2
Heart,25300,527.5
Kidney,270,469.65
Liver,363.5,216.4
Lung,126,857.3
Muscle,5510,929.3
Nerve,24637.5,816.4
Ovary,30000,1823
Pancreas,315,420.1
Pituitary,NA,975.7
Prostate,120,702.2
Salivary Gland,60,572.8
Skin,64,702.55
Small Intestine,7.05,487.5
Spleen,7.8,507
Stomach,1.4,598.4
Testis,63.5,541.8
Thyroid,3679.5,804.3
Uterus,13,1062.3
Vagina,3.9,893.3